R104

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10          0        204         10   
    2      35         17          7          0        202         10   
    3      55         45         13          0        197         10   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    6      25         30          3          0        208         10   
    7      20         50          5          0        198         10   
    8      10         43          9         95        105         10   
    9      55         60         16         97        107         10   
   10      30         60         16          0        194         10   
   11      20         65         12         67         77         10   
   12      50         35         19          0        205         10   
   13      30         25         23        159        169         10   
   14      15         10         20          0        187         10   
   15      30          5          8         61         71         10   
