File name	Cplex Cost	Cplex Elapsed Time [ms]	Cplex N. Visited Nodes	Cplex Route	Labeling Cost	Labeling Elapsed Time [ms]	Labeling N. Visited Nodes	Labeling Route	Labeling N. Feasible Routes	Labeling N. Generated Routes
R101.txt	0.0	0	0		-13.568252413136626	5	3	0, 6, 13, Depot	9	59
R102.txt	0.0	0	0		-27.846548282348472	7	5	0, 6, 13, 2, 21, Depot	11	144
R103.txt	0.0	0	0		-27.846548282348472	12	5	0, 6, 13, 2, 21, Depot	12	212
R104.txt	0.0	0	0		-37.19171705706388	19	10	0, 1, 10, 11, 19, 18, 6, 13, 2, 21, Depot	13	557
R105.txt	0.0	0	0		-13.568252413136626	0	3	0, 6, 13, Depot	8	70
R106.txt	0.0	0	0		-27.846548282348472	2	5	0, 6, 13, 2, 21, Depot	11	199
R107.txt	0.0	0	0		-27.846548282348472	4	5	0, 6, 13, 2, 21, Depot	12	273
R108.txt	0.0	0	0		-37.19171705706388	14	10	0, 1, 10, 11, 19, 18, 6, 13, 2, 21, Depot	14	712
R109.txt	0.0	0	0		-13.568252413136626	0	3	0, 6, 13, Depot	7	116
R110.txt	0.0	0	0		-13.568252413136626	3	3	0, 6, 13, Depot	7	202
R111.txt	0.0	0	0		-27.846548282348472	3	5	0, 6, 13, 2, 21, Depot	11	265
R112.txt	0.0	0	0		-27.846548282348472	7	5	0, 6, 13, 2, 21, Depot	11	454
